




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1849)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
multicellular organism development (GO:0007275)	4941	801	443.60	+	1.81	2.07E-67	3.27E-63
system development (GO:0048731)	4330	732	388.74	+	1.88	1.81E-66	1.43E-62
anatomical structure development (GO:0048856)	5330	838	478.52	+	1.75	5.58E-66	2.94E-62
developmental process (GO:0032502)	5797	875	520.45	+	1.68	4.40E-62	1.74E-58
multicellular organismal process (GO:0032501)	6926	975	621.81	+	1.57	3.19E-58	1.01E-54
nervous system development (GO:0007399)	2218	454	199.13	+	2.28	1.74E-56	4.59E-53
anatomical structure morphogenesis (GO:0009653)	2158	434	193.74	+	2.24	6.51E-52	1.47E-48
cell differentiation (GO:0030154)	3575	592	320.96	+	1.84	7.86E-48	1.55E-44
cellular developmental process (GO:0048869)	3634	595	326.26	+	1.82	7.90E-47	1.39E-43
animal organ development (GO:0048513)	3220	546	289.09	+	1.89	3.39E-46	5.36E-43
animal organ morphogenesis (GO:0009887)	956	240	85.83	+	2.80	2.72E-40	3.91E-37
neurogenesis (GO:0022008)	1391	300	124.88	+	2.40	1.30E-39	1.72E-36
generation of neurons (GO:0048699)	1271	278	114.11	+	2.44	1.78E-37	2.16E-34
neuron differentiation (GO:0030182)	1043	236	93.64	+	2.52	1.44E-33	1.62E-30
central nervous system development (GO:0007417)	1000	223	89.78	+	2.48	7.25E-31	7.16E-28
regulation of multicellular organismal process (GO:0051239)	2673	432	239.98	+	1.80	7.10E-31	7.49E-28
embryo development (GO:0009790)	991	217	88.97	+	2.44	3.94E-29	3.67E-26
pattern specification process (GO:0007389)	426	131	38.25	+	3.43	6.43E-29	5.65E-26
regulation of developmental process (GO:0050793)	2461	398	220.95	+	1.80	3.61E-28	3.01E-25
regulation of signaling (GO:0023051)	3545	517	318.27	+	1.62	1.16E-27	9.18E-25
regulation of localization (GO:0032879)	2753	428	247.16	+	1.73	2.71E-27	2.04E-24
regulation of cell communication (GO:0010646)	3509	511	315.03	+	1.62	3.09E-27	2.22E-24
cell development (GO:0048468)	1646	297	147.78	+	2.01	4.29E-27	2.95E-24
biological regulation (GO:0065007)	12568	1357	1128.34	+	1.20	7.46E-27	4.91E-24
positive regulation of cellular process (GO:0048522)	5741	740	515.42	+	1.44	8.40E-27	5.31E-24
regulation of biological process (GO:0050789)	11898	1301	1068.19	+	1.22	9.92E-27	6.03E-24
regionalization (GO:0003002)	317	107	28.46	+	3.76	1.92E-26	1.12E-23
regulation of cellular process (GO:0050794)	11351	1253	1019.08	+	1.23	2.02E-26	1.14E-23
cell fate commitment (GO:0045165)	238	92	21.37	+	4.31	2.77E-26	1.51E-23
cell-cell signaling (GO:0007267)	1131	228	101.54	+	2.25	3.09E-26	1.63E-23
embryonic morphogenesis (GO:0048598)	570	148	51.17	+	2.89	4.07E-26	2.07E-23
sensory organ development (GO:0007423)	555	145	49.83	+	2.91	8.10E-26	4.00E-23
positive regulation of biological process (GO:0048518)	6331	789	568.39	+	1.39	5.56E-25	2.66E-22
tissue development (GO:0009888)	1729	298	155.23	+	1.92	1.85E-24	8.61E-22
negative regulation of cellular process (GO:0048523)	4902	640	440.10	+	1.45	1.77E-23	8.01E-21
behavior (GO:0007610)	557	140	50.01	+	2.80	2.04E-23	8.97E-21
embryonic organ development (GO:0048568)	435	120	39.05	+	3.07	3.55E-23	1.51E-20
anatomical structure formation involved in morphogenesis (GO:0048646)	883	185	79.27	+	2.33	6.49E-23	2.70E-20
negative regulation of biological process (GO:0048519)	5501	696	493.87	+	1.41	1.24E-22	5.02E-20
regulation of multicellular organismal development (GO:2000026)	1332	242	119.59	+	2.02	2.08E-22	8.21E-20
head development (GO:0060322)	803	172	72.09	+	2.39	3.20E-22	1.23E-19
regulation of cell differentiation (GO:0045595)	1586	272	142.39	+	1.91	5.84E-22	2.20E-19
tube development (GO:0035295)	856	177	76.85	+	2.30	2.66E-21	9.79E-19
positive regulation of developmental process (GO:0051094)	1271	231	114.11	+	2.02	2.91E-21	1.05E-18
brain development (GO:0007420)	759	162	68.14	+	2.38	9.55E-21	3.28E-18
regulation of transport (GO:0051049)	1772	290	159.09	+	1.82	9.37E-21	3.29E-18
regulation of biological quality (GO:0065008)	3995	532	358.67	+	1.48	2.43E-20	8.18E-18
regulation of ion transport (GO:0043269)	703	153	63.11	+	2.42	2.63E-20	8.65E-18
signaling (GO:0023052)	5565	689	499.62	+	1.38	5.19E-20	1.67E-17
modulation of chemical synaptic transmission (GO:0050804)	431	111	38.69	+	2.87	1.39E-19	4.39E-17
regulation of transcription by RNA polymerase II (GO:0006357)	2595	379	232.98	+	1.63	1.44E-19	4.47E-17
regulation of trans-synaptic signaling (GO:0099177)	432	111	38.78	+	2.86	1.60E-19	4.86E-17
circulatory system development (GO:0072359)	877	174	78.74	+	2.21	1.94E-19	5.79E-17
neuron development (GO:0048666)	846	169	75.95	+	2.23	4.05E-19	1.18E-16
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	216	108.81	+	1.99	4.51E-19	1.27E-16
embryonic organ morphogenesis (GO:0048562)	295	88	26.48	+	3.32	4.51E-19	1.30E-16
tissue morphogenesis (GO:0048729)	545	126	48.93	+	2.58	1.15E-18	3.20E-16
cell communication (GO:0007154)	5656	690	507.79	+	1.36	1.48E-18	4.04E-16
positive regulation of cell differentiation (GO:0045597)	840	166	75.41	+	2.20	2.57E-18	6.88E-16
anterior/posterior pattern specification (GO:0009952)	203	70	18.23	+	3.84	4.00E-18	1.05E-15
positive regulation of multicellular organismal process (GO:0051240)	1431	239	128.47	+	1.86	5.15E-18	1.34E-15
tube morphogenesis (GO:0035239)	654	139	58.72	+	2.37	7.55E-18	1.92E-15
regulation of cell population proliferation (GO:0042127)	1654	264	148.49	+	1.78	1.28E-17	3.21E-15
regulation of system process (GO:0044057)	585	128	52.52	+	2.44	2.85E-17	7.05E-15
positive regulation of transcription, DNA-templated (GO:0045893)	1628	259	146.16	+	1.77	3.58E-17	8.57E-15
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	259	146.16	+	1.77	3.58E-17	8.70E-15
negative regulation of developmental process (GO:0051093)	879	167	78.92	+	2.12	3.79E-17	8.94E-15
positive regulation of RNA biosynthetic process (GO:1902680)	1629	259	146.25	+	1.77	5.03E-17	1.17E-14
skeletal system development (GO:0001501)	479	112	43.00	+	2.60	5.66E-17	1.30E-14
forebrain development (GO:0030900)	387	98	34.74	+	2.82	7.22E-17	1.63E-14
regulation of signal transduction (GO:0009966)	3128	423	280.83	+	1.51	1.15E-16	2.56E-14
regulation of nervous system development (GO:0051960)	443	105	39.77	+	2.64	2.24E-16	4.92E-14
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	421	280.38	+	1.50	2.49E-16	5.39E-14
nucleic acid metabolic process (GO:0090304)	2217	96	199.04	-	.48	3.34E-16	7.14E-14
positive regulation of cellular metabolic process (GO:0031325)	3314	439	297.53	+	1.48	6.96E-16	1.47E-13
epithelium development (GO:0060429)	1113	192	99.92	+	1.92	9.66E-16	2.01E-13
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	1	39.59	-	.03	1.47E-15	3.02E-13
positive regulation of RNA metabolic process (GO:0051254)	1773	269	159.18	+	1.69	1.82E-15	3.69E-13
positive regulation of metabolic process (GO:0009893)	3820	488	342.96	+	1.42	3.02E-15	6.03E-13
synaptic signaling (GO:0099536)	464	105	41.66	+	2.52	3.63E-15	7.18E-13
neuron projection development (GO:0031175)	691	136	62.04	+	2.19	3.73E-15	7.28E-13
axon development (GO:0061564)	421	98	37.80	+	2.59	5.45E-15	1.05E-12
trans-synaptic signaling (GO:0099537)	432	100	38.78	+	2.58	5.52E-15	1.05E-12
anterograde trans-synaptic signaling (GO:0098916)	414	97	37.17	+	2.61	5.78E-15	1.07E-12
chemical synaptic transmission (GO:0007268)	414	97	37.17	+	2.61	5.78E-15	1.09E-12
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	163	81.34	+	2.00	6.74E-15	1.24E-12
sensory organ morphogenesis (GO:0090596)	261	73	23.43	+	3.12	7.84E-15	1.42E-12
urogenital system development (GO:0001655)	324	83	29.09	+	2.85	7.97E-15	1.43E-12
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	3	43.63	-	.07	1.13E-14	1.98E-12
positive regulation of macromolecule metabolic process (GO:0010604)	3522	454	316.20	+	1.44	1.13E-14	2.00E-12
regulation of neuron differentiation (GO:0045664)	193	61	17.33	+	3.52	1.48E-14	2.58E-12
neuron projection morphogenesis (GO:0048812)	499	108	44.80	+	2.41	1.71E-14	2.94E-12
RNA processing (GO:0006396)	930	23	83.49	-	.28	2.25E-14	3.83E-12
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	108	45.16	+	2.39	2.37E-14	3.98E-12
cell morphogenesis (GO:0000902)	715	137	64.19	+	2.13	2.46E-14	4.05E-12
heterocycle metabolic process (GO:0046483)	2891	149	259.55	-	.57	2.44E-14	4.06E-12
system process (GO:0003008)	2057	296	184.68	+	1.60	2.64E-14	4.30E-12
morphogenesis of an epithelium (GO:0002009)	441	99	39.59	+	2.50	3.57E-14	5.76E-12
positive regulation of cell communication (GO:0010647)	1755	261	157.56	+	1.66	3.91E-14	6.25E-12
muscle structure development (GO:0061061)	473	103	42.47	+	2.43	4.50E-14	7.11E-12
cell projection morphogenesis (GO:0048858)	507	108	45.52	+	2.37	4.76E-14	7.44E-12
nucleobase-containing compound metabolic process (GO:0006139)	2705	137	242.85	-	.56	5.51E-14	8.53E-12
positive regulation of signaling (GO:0023056)	1761	261	158.10	+	1.65	5.83E-14	8.86E-12
locomotion (GO:0040011)	1345	213	120.75	+	1.76	5.79E-14	8.89E-12
renal system development (GO:0072001)	291	76	26.13	+	2.91	6.00E-14	8.95E-12
central nervous system neuron differentiation (GO:0021953)	183	58	16.43	+	3.53	5.97E-14	8.99E-12
regulation of ion transmembrane transport (GO:0034765)	502	107	45.07	+	2.37	6.51E-14	9.62E-12
axonogenesis (GO:0007409)	385	90	34.56	+	2.60	7.09E-14	1.04E-11
heart development (GO:0007507)	535	111	48.03	+	2.31	7.40E-14	1.07E-11
positive regulation of cellular biosynthetic process (GO:0031328)	1969	284	176.77	+	1.61	7.52E-14	1.08E-11
negative regulation of cell differentiation (GO:0045596)	644	126	57.82	+	2.18	7.99E-14	1.14E-11
cellular nitrogen compound metabolic process (GO:0034641)	3395	188	304.80	-	.62	9.19E-14	1.30E-11
cellular component morphogenesis (GO:0032989)	611	121	54.86	+	2.21	9.76E-14	1.37E-11
blood circulation (GO:0008015)	390	90	35.01	+	2.57	1.13E-13	1.56E-11
negative regulation of signaling (GO:0023057)	1405	219	126.14	+	1.74	1.19E-13	1.64E-11
circulatory system process (GO:0003013)	481	103	43.18	+	2.39	1.21E-13	1.64E-11
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	99	40.67	+	2.43	1.39E-13	1.87E-11
